"siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement"
"000325175,00016,00032517500016,O,2000-09-26,NN,,3212ZZ,2024-03-22T15:40:57,false,3,,,,,,,MANIHI COTE MONTAGNE TUAMOTU,98770,MANIHI,,,98727,,,,,,,,,,,,,,,,,,,,,,2009-05-27,F,,,,,32.12Z,NAFRev2,N,"
"000325175,00024,00032517500024,O,2008-05-20,NN,,,2024-03-30T05:08:28,false,2,,1,,,,PLACE,LEONCE DE SEYNES,84000,AVIGNON,,,84007,,,,,84007cvsr_B,851150.0982592739,6317267.146094748,,,,,,,,,,,,,,,2011-10-21,F,TAHITI PERLES CREATIONS,,,,47.89Z,NAFRev2,N,"
"000325175,00032,00032517500032,O,2009-05-27,NN,,,2024-03-30T05:56:39,false,2,ECONOMIS,6,,,,AVENUE,FRANCOIS MAURIAC,84000,AVIGNON,,,84007,,,,,840072225_B,848084.2366812509,6316548.347114814,,,,,,,,,,,,,,,2011-10-21,F,TAHITI PERLES CREATIONS,,,,32.12Z,NAFRev2,N,"
"000325175,00040,00032517500040,O,2011-10-21,NN,,3212ZZ,2024-03-30T05:48:29,false,2,,170,,,,AVENUE,DU COL DE L’ANGE,13420,GEMENOS,,,13042,,,,,130420096_B,913005.2782392878,6245869.653506171,,,,,,,,,,,,,,,2014-01-07,F,TAHITI PERLES CREATION,,,,32.12Z,NAFRev2,N,"
"000325175,00057,00032517500057,O,2014-01-07,NN,,,2024-03-30T05:29:10,false,2,,61,,,,RUE,MARX DORMOY,13004,MARSEILLE,,,13204,,,,,132045859_B,894589.9700529675,6247476.0260883765,,,,,,,,,,,,,,,2018-02-07,F,TAHITI PERLES CREATION,,,,32.12Z,NAFRev2,N,"
"000325175,00065,00032517500065,O,2018-02-07,NN,,,2025-12-06T00:08:31,true,1,,51,,,,RUE,MARX DORMOY,13004,MARSEILLE,,,13204,,,,,132045859_B,894569.8467557925,6247518.1219648,,,,,,,,,,,,,,,2018-02-07,A,,,,,32.12Z,NAFRev2,N,32.12Y"
"001807254,00014,00180725400014,O,1972-05-01,NN,,,2024-03-30T03:53:05,false,3,,15,,,,RUE,D'INGLEMUR,54200,TOUL,,,54528,,,,,545280700_B,912923.8817613188,6845494.51299018,,,,,,,,,,,,,,,2008-01-01,F,,,,,95.24Z,NAFRev2,N,"
"001807254,00022,00180725400022,O,2009-10-01,NN,,,2024-03-30T03:53:05,true,2,,31,,,,RUE,D'ALEMBERT,02100,SAINT-QUENTIN,,,02691,,,,,026910115_B,721307.3780863137,6973973.347916682,,,,,,,,,,,,,,,2014-12-31,F,,,,,85.59A,NAFRev2,N,"
"005410220,00015,00541022000015,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,DE HOUDENT,80210,TOURS-EN-VIMEU,,,80765,,,,,,,,,,,,,,,,,,,,,,1988-03-31,F,,,,,22.02,NAP,N,"
"005410345,00010,00541034500010,O,,NN,,,2024-03-30T16:08:33,true,1,,,,,,ROUTE,DE DOULLENS,80100,ABBEVILLE,,,80001,,,,,800010620_B,617782.5995851721,7001664.069528669,,,,,,,,,,,,,,,1984-12-25,F,,,,,79.06,NAP,N,"
"005410394,00018,00541039400018,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,CHE,PETIT,80120,ARGOULES,,,80025,,,,,,,,,,,,,,,,,,,,,,1987-12-01,F,,,,,64.42,NAP,N,"
"005410428,00014,00541042800014,O,1954-01-01,NN,,,2024-03-30T18:44:50,true,1,,68,,,,CHAUSSEE,MARCADE,80100,ABBEVILLE,,,80001,,,,,800011240_B,616187.0667506256,7002005.876689943,,,,,,,,,,,,,,,1989-06-11,F,,,,,70.2C,NAF1993,N,"
"005410436,00017,00541043600017,O,,NN,,,2024-03-30T07:06:26,true,1,,,,,,CHAUSSEE,D'HOCQUET,80100,ABBEVILLE,,,80001,,,,,800010950_B,615899.1248229351,7001646.114187017,,,,,,,,,,,,,,,1984-12-25,F,,,,,57.11,NAP,N,"
"005410485,00014,00541048500014,O,,NN,,,2024-03-22T15:40:57,true,1,,177,,,,RUE,GRANDE,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,64.42,NAP,N,"
"005410493,00018,00541049300018,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,HAM,DE HAMICOURT,80210,TOURS-EN-VIMEU,,,80765,,,,,,,,,,,,,,,,,,,,,,,F,,,,,86.06,NAP,N,"
"005410501,00018,00541050100018,O,1954-01-01,NN,,,2024-03-30T17:04:51,true,1,,,,,,RUE,DU FORT MARDI,80150,VIRONCHAUX,,,80808,,,,,808080040_B,615914.9887055407,7021864.711469269,,,,,,,,,,,,,,,2001-12-31,F,,,,,55.4B,NAF1993,N,"
"005410519,00010,00541051900010,O,,NN,,,2024-03-30T07:27:42,true,1,,10,,,,RUE,PASTEUR,80550,LE CROTOY,,,80228,,,,,802280800_B,601620.6016302361,7014079.917749507,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N,"
"005410527,00013,00541052700013,O,,NN,,,2024-03-30T09:09:08,true,1,,84,,,,RUE,PASTEUR,80100,ABBEVILLE,,,80001,,,,,800011480_B,615960.8760042273,7001743.527421082,,,,,,,,,,,,,,,1997-07-01,F,,,,,70.2C,NAF1993,N,"
"005410543,00010,00541054300010,O,,NN,,,2024-03-30T09:24:30,true,1,,,,,,ROUTE,NATIONALE,80860,NOUVION,,,80598,,,,,805980421_B,612892.0105797307,7013094.491856465,,,,,,,,,,,,,,,,F,,,,,67.05,NAP,N,"
"005410642,00010,00541064200010,O,,NN,,,2024-03-30T03:12:14,true,1,,1,,,,RUE,DE SAINT-VALERY,80220,GAMACHES,,,80373,,,,,803730920_B,596733.8025706881,6988854.58138133,,,,,,,,,,,,,,,1991-12-31,F,,,,,64.45,NAP,N,"
"005410667,00017,00541066700017,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80132,MAREUIL-CAUBERT,,,80512,,,,,,,,,,,,,,,,,,,,,,1996-10-30,F,,,,,55.4B,NAF1993,O,"
"005410675,00010,00541067500010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80270,ALLERY,,,80019,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.43,NAP,N,"
